X,Y,PC,PQ,EA,NO,CY,RH,LH,CC,DC,WC
-1.41745033110074,50.9160628052793,SO155BQ,10,441049,113124,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.416838894842,50.9160417678317,SO155BR,10,441092,113122,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41652938211179,50.9169035157381,SO155BS,10,441113,113218,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41652443435982,50.9172991674547,SO155BT,10,441113,113262,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41790897625584,50.9169283867288,SO155BU,10,441016,113220,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41919000475445,50.9168718173578,SO155BW,10,440926,113213,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41897159187794,50.9172753997718,SO155BX,10,440941,113258,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41767700035457,50.9172779432472,SO155BY,10,441032,113259,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41737018966554,50.9179238831917,SO155BZ,10,441053,113331,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41678695473117,50.9179209715249,SO155DA,10,441094,113331,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41567580947116,50.9180413133583,SO155DB,10,441172,113345,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41571886202664,50.915739411174,SO155DD,10,441171,113089,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41675559324309,50.9101871350343,SO155DE,10,441103,112471,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41784626876203,50.9105522844683,SO155DF,10,441026,112511,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41782363276069,50.9112266207653,SO155DG,10,441027,112586,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41780447365757,50.9116222020394,SO155DH,10,441028,112630,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41739364741228,50.9126273300372,SO155DJ,10,441056,112742,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41835167424089,50.9122274370558,SO155DL,10,440989,112697,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42014082009525,50.9124791377329,SO155DN,10,440863,112724,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41912825899497,50.9126899283756,SO155DP,10,440934,112748,E92000001,E19000002,E18000009,,E06000045,E05002461
